Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,Math (18x18),Chip Globals,PLL
CLOCKS_AND_RESETS_inst_0/CCC_FIC_x_CLK/PF_CCC_C0_0/Primitives,0,0,0,0,0,0,0,0,4,1
CLOCKS_AND_RESETS_inst_0/Primitives,1,0,0,0,0,0,0,0,1,0
CLOCKS_AND_RESETS_inst_0/RESET_FIC_0_CLK/CORERESET_0/Primitives,1,16,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/Primitives,371,827,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/address_generator_0/Primitives,1987,36,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/address_generator_0/delay_0/Primitives,0,8,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/address_generator_0/delay_1/Primitives,0,6,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/address_generator_0/delay_2/Primitives,0,18,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/address_generator_0/delay_3/Primitives,0,8,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/cf_mmap_0/Primitives,6,28,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/Primitives,853,644,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/add_rd_0/Primitives,891,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/add_rd_1/Primitives,165,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/add_rd_2/Primitives,166,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/add_rd_3/Primitives,1338,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/delay_0/Primitives,0,2,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/delay_1/Primitives,0,6,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_half_4/Primitives,23,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_half_5/Primitives,23,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_half_6/Primitives,23,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_half_7/Primitives,23,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_0/Primitives,319,28,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_0/ahbh_mult_mulonly_0[21:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_0/ahbl_mult_muladd_0[22:0]/Primitives,0,0,72,72,0,0,0,2,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_0/albl_mult_mulonly_0[23:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_1/Primitives,319,28,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_1/ahbh_mult_mulonly_0[21:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_1/ahbl_mult_muladd_0[22:0]/Primitives,0,0,72,72,0,0,0,2,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_1/albl_mult_mulonly_0[23:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_2/Primitives,319,28,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_2/ahbh_mult_mulonly_0[21:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_2/ahbl_mult_muladd_0[22:0]/Primitives,0,0,72,72,0,0,0,2,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_2/albl_mult_mulonly_0[23:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_3/Primitives,319,28,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_3/ahbh_mult_mulonly_0[21:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_3/ahbl_mult_muladd_0[22:0]/Primitives,0,0,72,72,0,0,0,2,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/mult_rd_3/albl_mult_mulonly_0[23:0]/Primitives,0,0,36,36,0,0,0,1,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/sub_rd_0/Primitives,70,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/sub_rd_1/Primitives,70,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/sub_rd_2/Primitives,70,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_mul_0/sub_rd_3/Primitives,181,0,0,0,0,0,0,0,0,0
