
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. Core_Poly, 2376, 4774, 3407, 0, 12, 0, 86, 1, 159
.	. address_generator, 0, 6, 6, 0, 0, 0, 0, 0, 0
.	. conflict_free_memory_map, 32, 16, 0, 0, 0, 0, 0, 0, 0
.	. conflict_free_memory_map_0, 32, 16, 0, 0, 0, 0, 0, 0, 0
.	. fsm, 44, 495, 22, 0, 0, 0, 0, 0, 0
.	.	. delay_2s_2s, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. delay_2s_4s, 8, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. delay_2s_4s_0, 8, 0, 0, 0, 0, 0, 0, 0, 0
.	. poly_mul_23s_4808194, 1174, 1991, 1955, 0, 12, 0, 0, 0, 0
.	.	. add_rd, 0, 1370, 115, 0, 0, 0, 0, 0, 0
.	.	. add_rd_0, 0, 47, 47, 0, 0, 0, 0, 0, 0
.	.	. add_rd_1, 0, 94, 47, 0, 0, 0, 0, 0, 0
.	.	. add_rd_2, 0, 23, 47, 0, 0, 0, 0, 0, 0
.	.	. mult_half, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	. mult_rd, 98, 80, 350, 0, 3, 0, 0, 0, 0
.	.	. mult_rd_0, 98, 52, 350, 0, 3, 0, 0, 0, 0
.	.	. mult_rd_1, 98, 119, 350, 0, 3, 0, 0, 0, 0
.	.	. mult_rd_2, 98, 142, 350, 0, 3, 0, 0, 0, 0
.	.	. sub_rd, 0, 0, 46, 0, 0, 0, 0, 0, 0
.	.	. sub_rd_0, 0, 2, 46, 0, 0, 0, 0, 0, 0
.	.	. sub_rd_1, 0, 4, 46, 0, 0, 0, 0, 0, 0
.	.	. sub_rd_2, 0, 0, 46, 0, 0, 0, 0, 0, 0
.	. poly_ram_6s_64s_23s_0, 48, 861, 262, 0, 0, 0, 13, 0, 0
.	.	. arbiter_0, 0, 20, 0, 0, 0, 0, 0, 0, 0
.	.	. delay_4s_Z2_0, 2, 2, 0, 0, 0, 0, 2, 0, 0
.	.	. delay_6s_Z1_0, 3, 5, 0, 0, 0, 0, 2, 0, 0
.	.	. network_bank_in_6s_1, 0, 24, 48, 0, 0, 0, 0, 0, 0
.	.	. network_bf_in_23s_1, 8, 298, 0, 0, 0, 0, 0, 0, 0
.	.	. network_bf_out_23s_1, 35, 512, 214, 0, 0, 0, 1, 0, 0
.	.	.	. delay_8s_4s_0, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. delay_8s_6s_0, 3, 5, 0, 0, 0, 0, 1, 0, 0
.	.	. poly_bank_6s_64s_23s_3, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. poly_bank_6s_64s_23s_4, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. poly_bank_6s_64s_23s_5, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. poly_bank_6s_64s_23s_6, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	. poly_ram_6s_64s_23s_1, 283, 514, 246, 0, 0, 0, 9, 0, 0
.	.	. arbiter, 0, 20, 0, 0, 0, 0, 0, 0, 0
.	.	. delay_4s_Z2, 96, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. delay_6s_Z1, 144, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. network_bank_in_6s, 0, 0, 48, 0, 0, 0, 0, 0, 0
.	.	. network_bf_in_23s, 8, 371, 14, 0, 0, 0, 0, 0, 0
.	.	. network_bf_out_23s_0, 35, 75, 184, 0, 0, 0, 1, 0, 0
.	.	.	. delay_8s_4s, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. delay_8s_6s, 3, 5, 0, 0, 0, 0, 1, 0, 0
.	.	. poly_bank_6s_64s_23s, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. poly_bank_6s_64s_23s_0, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. poly_bank_6s_64s_23s_1, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. poly_bank_6s_64s_23s_2, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	. polyvec_ram_9s_512s_23s, 0, 83, 460, 0, 0, 0, 64, 0, 0
.	. tf_ROM_69s, 69, 520, 272, 0, 0, 0, 0, 0, 0
.	. tf_address_generator, 18, 4, 7, 0, 0, 0, 0, 0, 0
