@N: MF472 |Synthesis running in Automatic Compile Point mode
@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\address_generator.v":51:4:51:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.address_generator_0.done with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\address_generator.v":51:4:51:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.address_generator_0.start[6:1] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\address_generator.v":51:4:51:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.address_generator_0.wen_reg with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\address_generator.v":51:4:51:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.address_generator_0.dl_sel with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t3[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t2[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t1[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t0[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t27[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t26[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t25[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t24[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t23[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t22[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t21[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t20[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t15[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t14[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t13[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t12[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t11[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t10[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
