
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. MPFS_ICICLE_KIT_BASE_DESIGN, 3266, 6705, 1718, 0, 4, 0, 45, 6, 148
.	. CLOCKS_AND_RESETS, 16, 1, 0, 0, 0, 0, 0, 5, 0
.	.	. CORERESET, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	. FIC_0_PERIPHERALS, 3250, 6699, 1718, 0, 4, 0, 45, 1, 0
.	.	. Core_Poly_Z3, 1277, 4315, 1387, 0, 4, 0, 38, 0, 0
.	.	.	. address_generator_shuffling, 77, 345, 62, 0, 0, 0, 0, 0, 0
.	.	.	.	. delay_2s_3s_0, 6, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. delay_2s_4s, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. delay_2s_7s, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. delay_8s_3s_0, 21, 1, 1, 0, 0, 0, 0, 0, 0
.	.	.	.	. shuffle_rom, 0, 149, 40, 0, 0, 0, 0, 0, 0
.	.	.	. conflict_free_memory_map, 28, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. poly_mul_12s_767s_2385s, 475, 2650, 581, 0, 4, 0, 0, 0, 0
.	.	.	.	. add_rd_12s, 0, 80, 25, 0, 0, 0, 0, 0, 0
.	.	.	.	. add_rd_12s_0, 0, 38, 37, 0, 0, 0, 0, 0, 0
.	.	.	.	. add_rd_12s_1, 0, 61, 37, 0, 0, 0, 0, 0, 0
.	.	.	.	. add_rd_12s_2, 0, 32, 37, 0, 0, 0, 0, 0, 0
.	.	.	.	. delay_2s_3s_1, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. delay_2s_4s_0, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mult_half_12s, 0, 0, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	. mult_half_12s_0, 0, 0, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	. mult_half_12s_3, 0, 0, 11, 0, 0, 0, 0, 0, 0
